Rk,Gcar,Gtm,Date,Team,Location,Opp,Result,Score,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,56,1,2015-04-18,HOU,Home,DAL,Win,118-108,*,38:48,4,11,.364,1,5,.200,3,6,.500,.409,15,17,.882,0,2,2,11,1,0,3,1,24,23.0,15
2,57,2,2015-04-21,HOU,Home,DAL,Win,111-99,*,34:04,5,17,.294,1,4,.250,4,13,.308,.324,13,13,1.000,0,5,5,6,1,0,4,4,24,15.2,9
3,58,3,2015-04-24,HOU,Away,DAL,Win,130-128,*,36:07,15,24,.625,5,7,.714,10,17,.588,.729,7,7,1.000,0,5,5,9,1,0,5,4,42,33.4,-1
4,59,4,2015-04-26,HOU,Away,DAL,Loss,109-121,*,36:19,7,15,.467,1,7,.143,6,8,.750,.500,9,9,1.000,1,4,5,5,2,0,1,2,24,21.9,-13
5,60,5,2015-04-28,HOU,Home,DAL,Win,103-94,*,35:04,9,19,.474,4,8,.500,5,11,.455,.579,6,6,1.000,1,1,2,8,1,1,6,4,28,19.0,16
6,61,6,2015-05-04,HOU,Home,LAC,Loss,101-117,*,37:00,6,13,.462,3,6,.500,3,7,.429,.577,5,6,.833,0,5,5,12,4,0,9,4,20,16.2,-22
7,62,7,2015-05-06,HOU,Home,LAC,Win,115-109,*,35:03,7,17,.412,3,10,.300,4,7,.571,.500,15,15,1.000,1,2,3,7,1,1,7,4,32,22.2,14
8,63,8,2015-05-08,HOU,Away,LAC,Loss,99-124,*,36:25,8,16,.500,4,7,.571,4,9,.444,.625,5,5,1.000,0,3,3,11,0,1,5,3,25,20.1,-14
9,64,9,2015-05-10,HOU,Away,LAC,Loss,95-128,*,32:28,5,12,.417,2,4,.500,3,8,.375,.500,9,10,.900,0,8,8,6,0,0,1,3,21,18.6,-18
10,65,10,2015-05-12,HOU,Home,LAC,Win,124-103,*,42:52,9,20,.450,1,8,.125,8,12,.667,.475,7,8,.875,2,9,11,10,0,0,5,4,26,19.7,23
11,66,11,2015-05-14,HOU,Away,LAC,Win,119-107,*,29:56,5,20,.250,2,6,.333,3,14,.214,.300,11,11,1.000,0,2,2,3,2,0,1,2,23,13.9,-21
12,67,12,2015-05-17,HOU,Home,LAC,Win,113-100,*,43:08,7,20,.350,2,7,.286,5,13,.385,.400,15,18,.833,0,7,7,8,3,1,7,1,31,22.6,12
13,68,13,2015-05-19,HOU,Away,GSW,Loss,106-110,*,41:50,11,20,.550,1,3,.333,10,17,.588,.575,5,6,.833,2,9,11,9,4,0,5,4,28,25.8,-3
14,69,14,2015-05-21,HOU,Away,GSW,Loss,98-99,*,40:59,13,21,.619,3,6,.500,10,15,.667,.690,9,10,.900,1,9,10,9,3,1,2,2,38,38.7,12
15,70,15,2015-05-23,HOU,Home,GSW,Loss,80-115,*,32:11,3,16,.188,1,5,.200,2,11,.182,.219,10,11,.909,0,3,3,4,0,0,1,0,17,9.3,-31
16,71,16,2015-05-25,HOU,Home,GSW,Win,128-115,*,40:20,13,22,.591,7,11,.636,6,11,.545,.750,12,13,.923,2,7,9,5,2,2,3,2,45,41.0,21
17,72,17,2015-05-27,HOU,Away,GSW,Loss,90-104,*,43:15,2,11,.182,0,3,.000,2,8,.250,.182,10,13,.769,2,4,6,5,3,0,12,5,14,1.0,-4
,Home,,Home,,Home,,9-8,Home,17,634,129,294,.439,41,107,.383,88,187,.471,.509,163,178,.916,12,85,97,128,28,7,77,49,4
